Sample ID, Description
PC baseline, 
DMAB non excited, 
DMAB excited 5 min (310nm), 
DMAB excited 5 min (365nm), 
DMAB excited 10 min (365nm), 
DMAB vis light 2 min, 
DMAB vis light 5 min, 
DMAB vis light 10 min, 
Sample190, 
Sample191, 
Sample192, 
Sample193, 
Sample194, 
Sample195, 
Sample196, 
