Sample ID, Description, Type
PC baseline, , Sample
DMAB non excited, , Sample
DMAB excited 5 min (310nm), , Sample
DMAB excited 5 min (365nm), , Sample
DMAB excited 10 min (365nm), , Sample
DMAB vis light 2 min, , Sample
DMAB vis light 5 min, , Sample
DMAB vis light 10 min, , Sample
Sample190, , Sample
Sample191, , Sample
Sample192, , Sample
Sample193, , Sample
Sample194, , Sample
Sample195, , Sample
Sample196, , Sample
