Sample ID, Description
DMAAB ACN 0min weird, 
DMAAB ACN 0min, 
DMAAB ACN 5min, 
DMAAB ACN 10min, 
DMAAB ACN 15min, 
DMAAB ACN 20min, 
DMAAB ACN 25min, 
