Sample ID, Description, Type
DMAAB ACN 0min weird, , Sample
DMAAB ACN 0min, , Sample
DMAAB ACN 5min, , Sample
DMAAB ACN 10min, , Sample
DMAAB ACN 15min, , Sample
DMAAB ACN 20min, , Sample
DMAAB ACN 25min, , Sample
