Sample ID, Description, Type
DEAM non excited, , Sample
i fckd up, , Sample
ACN sol fucked, , Sample
ACN solution, , Sample
DEAM 1 min, , Sample
DEAM 5 min, , Sample
DEAM 10 min, , Sample
DEAM 15 min, , Sample
DEAM 25 min, , Sample
DEAM 35 min, , Sample
DEAM 45 min, , Sample
DEAM 60 min, , Sample
DEAM 90 min (1220), , Sample
DEAM 160 min (1330), , Sample
Sample132, , Sample
Sample133, , Sample
Sample134, , Sample
Sample135, , Sample
Sample136, , Sample
Sample137, , Sample
