Sample ID, Description
DEAM non excited, 
i fckd up, 
ACN sol fucked, 
ACN solution, 
DEAM 1 min, 
DEAM 5 min, 
DEAM 10 min, 
DEAM 15 min, 
DEAM 25 min, 
DEAM 35 min, 
DEAM 45 min, 
DEAM 60 min, 
DEAM 90 min (1220), 
DEAM 160 min (1330), 
Sample132, 
Sample133, 
Sample134, 
Sample135, 
Sample136, 
Sample137, 
