Sample ID, Description, Type
AZ base, , Sample
az 5min 310nm 350mA_I(weird), , Sample
az 10min 310nm 350mA_I(weird), , Sample
az 15min 310nm 350mA_I(weird), , Sample
az 20min 365nm 700mA_I(weird), , Sample
