WE(1).Potential (V)	WE(1).Current (A)	Time (s)	Scan	Column 5 (V/s)
0.00226745605468751	6.622314453125E-07	80.4214697969553	1	0.01
0.005078125	7.4676513671875E-07	80.6656107963389	1	
0.00708923339843751	8.19091796875E-07	80.9097517957225	1	
0.0094879150390625	8.7371826171875E-07	81.1538927951061	1	
0.0123321533203125	9.2498779296875E-07	81.3980337944897	1	
0.01494140625	9.661865234375E-07	81.6421747938733	1	
0.016632080078125	1.00372314453125E-06	81.8863157932569	1	
0.019183349609375	1.03607177734375E-06	82.1304567926405	1	
0.0221649169921875	1.06781005859375E-06	82.3745977920241	1	
0.024359130859375	1.09527587890625E-06	82.6187387914077	1	
0.02701416015625	1.12213134765625E-06	82.8628797907913	1	
0.0292877197265625	1.1444091796875E-06	83.1070207901749	1	
0.031768798828125	1.1676025390625E-06	83.3511617895585	1	
0.0341552734375	1.19171142578125E-06	83.5953027889421	1	
0.0365478515625	1.212158203125E-06	83.8394437883258	1	
0.038818359375	1.23626708984375E-06	84.0835847877094	1	
0.04122314453125	1.25457763671875E-06	84.327725787093	1	
0.0438323974609375	1.27716064453125E-06	84.5718667864766	1	
0.04598388671875	1.2969970703125E-06	84.8160077858602	1	
0.04847412109375	1.314697265625E-06	85.0601487852438	1	
0.051025390625	1.334228515625E-06	85.3042897846274	1	
0.053680419921875	1.3531494140625E-06	85.548430784011	1	
0.056121826171875	1.37237548828125E-06	85.7925717833946	1	
0.059173583984375	1.39190673828125E-06	86.0367127827782	1	
0.06072998046875	1.4093017578125E-06	86.2808537821618	1	
0.063201904296875	1.4300537109375E-06	86.5249947815454	1	
0.06585693359375	1.448974609375E-06	86.769135780929	1	
0.068145751953125	1.46759033203125E-06	87.0132767803126	1	
0.0706787109375	1.48590087890625E-06	87.2574177796962	1	
0.07293701171875	1.50421142578125E-06	87.5015587790798	1	
0.07550048828125	1.51947021484375E-06	87.7456997784634	1	
0.0775146484375	1.541748046875E-06	87.989840777847	1	
0.080078125	1.5594482421875E-06	88.2339817772306	1	
0.0826416015625	1.575927734375E-06	88.4781227766142	1	
0.08489990234375	1.5948486328125E-06	88.7222637759978	1	
0.087371826171875	1.612548828125E-06	88.9664047753814	1	
0.09027099609375	1.632080078125E-06	89.210545774765	1	
0.09246826171875	1.6485595703125E-06	89.4546867741486	1	
0.094757080078125	1.668701171875E-06	89.6988277735322	1	
0.097015380859375	1.68609619140625E-06	89.9429687729158	1	
0.100006103515625	1.70654296875E-06	90.1871097722994	1	
0.102142333984375	1.7236328125E-06	90.431250771683	1	
0.10455322265625	1.74041748046875E-06	90.6753917710666	1	
0.10711669921875	1.76177978515625E-06	90.9195327704502	1	
0.10943603515625	1.77978515625E-06	91.1636737698338	1	
0.111785888671875	1.79779052734375E-06	91.4078147692175	1	
0.11431884765625	1.8170166015625E-06	91.6519557686011	1	
0.1170654296875	1.8389892578125E-06	91.8960967679847	1	
0.119354248046875	1.856689453125E-06	92.1402377673683	1	
0.121673583984375	1.87591552734375E-06	92.3843787667519	1	
0.123870849609375	1.89361572265625E-06	92.6285197661355	1	
0.126373291015625	1.9146728515625E-06	92.8726607655191	1	
0.128997802734375	1.93572998046875E-06	93.1168017649027	1	
0.1312255859375	1.95709228515625E-06	93.3609427642863	1	
0.133941650390625	1.9769287109375E-06	93.6050837636699	1	
0.136444091796875	1.99493408203125E-06	93.8492247630535	1	
0.13873291015625	2.01995849609375E-06	94.0933657624371	1	
0.141265869140625	2.04010009765625E-06	94.3375067618207	1	
0.143890380859375	2.060546875E-06	94.5816477612043	1	
0.1458740234375	2.081298828125E-06	94.8257887605879	1	
0.147918701171875	2.10357666015625E-06	95.0699297599715	1	
0.151214599609375	2.12738037109375E-06	95.3140707593551	1	
0.153045654296875	2.1484375E-06	95.5582117587387	1	
0.155914306640625	2.17041015625E-06	95.8023527581223	1	
0.157867431640625	2.19482421875E-06	96.0464937575059	1	
0.160675048828125	2.2174072265625E-06	96.2906347568895	1	
0.16278076171875	2.242431640625E-06	96.5347757562731	1	
0.16534423828125	2.26593017578125E-06	96.7789167556567	1	
0.1680908203125	2.28973388671875E-06	97.0230577550403	1	
0.170166015625	2.3126220703125E-06	97.2671987544239	1	
0.172210693359375	2.33917236328125E-06	97.5113397538075	1	
0.175384521484375	2.3638916015625E-06	97.7554807531911	1	
0.177947998046875	2.38922119140625E-06	97.9996217525747	1	
0.1795654296875	2.41485595703125E-06	98.2437627519583	1	
0.18267822265625	2.44415283203125E-06	98.4879037513419	1	
0.18475341796875	2.46734619140625E-06	98.7320447507255	1	
0.187408447265625	2.496337890625E-06	98.9761857501092	1	
0.189666748046875	2.523193359375E-06	99.2203267494928	1	
0.19183349609375	2.54852294921875E-06	99.4644677488764	1	
0.194366455078125	2.5811767578125E-06	99.70860874826	1	
0.197265625	2.61138916015625E-06	99.9527497476436	1	
0.1995849609375	2.6422119140625E-06	100.196890747027	1	
0.201446533203125	2.672119140625E-06	100.441031746411	1	
0.204376220703125	2.70782470703125E-06	100.685172745794	1	
0.206878662109375	2.744140625E-06	100.929313745178	1	
0.2088623046875	2.77862548828125E-06	101.173454744562	1	
0.211456298828125	2.81951904296875E-06	101.417595743945	1	
0.213958740234375	2.8594970703125E-06	101.661736743329	1	
0.216217041015625	2.90557861328125E-06	101.905877742712	1	
0.218841552734375	2.95196533203125E-06	102.150018742096	1	
0.221038818359375	3.00506591796875E-06	102.39415974148	1	
0.224395751953125	3.05999755859375E-06	102.638300740863	1	
0.226776123046875	3.1170654296875E-06	102.882441740247	1	
