nm, A
600,000000, 0,000320
599,000000, 0,000333
598,000000, 0,000362
597,000000, 0,000076
596,000000, 0,000368
595,000000, 0,000164
594,000000, -0,000014
593,000000, -0,000080
592,000000, 0,000276
591,000000, 0,000269
590,000000, 0,000040
589,000000, 0,000293
588,000000, 0,000575
587,000000, 0,000319
586,000000, 0,000231
585,000000, 0,000508
584,000000, 0,000263
583,000000, 0,000557
582,000000, 0,000072
581,000000, 0,000306
580,000000, 0,000491
579,000000, 0,000268
578,000000, 0,000405
577,000000, 0,000655
576,000000, 0,000438
575,000000, 0,000293
574,000000, 0,000512
573,000000, 0,000441
572,000000, 0,000532
571,000000, 0,000571
570,000000, 0,000556
569,000000, 0,000649
568,000000, 0,000876
567,000000, 0,000730
566,000000, 0,000525
565,000000, 0,000944
564,000000, 0,000828
563,000000, 0,000798
562,000000, 0,000851
561,000000, 0,000746
560,000000, 0,001120
559,000000, 0,001154
558,000000, 0,001210
557,000000, 0,001353
556,000000, 0,001414
555,000000, 0,001175
554,000000, 0,001359
553,000000, 0,001501
552,000000, 0,001622
551,000000, 0,001521
550,000000, 0,001393
549,000000, 0,001587
548,000000, 0,001611
547,000000, 0,001847
546,000000, 0,002141
545,000000, 0,001923
544,000000, 0,002204
543,000000, 0,002182
542,000000, 0,002271
541,000000, 0,002204
540,000000, 0,002338
539,000000, 0,002582
538,000000, 0,002647
537,000000, 0,002557
536,000000, 0,003124
535,000000, 0,003310
534,000000, 0,003315
533,000000, 0,003463
532,000000, 0,003698
531,000000, 0,003856
530,000000, 0,004045
529,000000, 0,004388
528,000000, 0,004584
527,000000, 0,004555
526,000000, 0,004808
525,000000, 0,005190
524,000000, 0,005549
523,000000, 0,005648
522,000000, 0,006040
521,000000, 0,006141
520,000000, 0,006559
519,000000, 0,006787
518,000000, 0,007137
517,000000, 0,007403
516,000000, 0,007745
515,000000, 0,008223
514,000000, 0,008489
513,000000, 0,009060
512,000000, 0,009427
511,000000, 0,009908
510,000000, 0,010250
509,000000, 0,010829
508,000000, 0,011454
507,000000, 0,011833
506,000000, 0,012412
505,000000, 0,012910
504,000000, 0,013381
503,000000, 0,013953
502,000000, 0,014605
501,000000, 0,015197
500,000000, 0,015684
499,000000, 0,016468
498,000000, 0,017266
497,000000, 0,018091
496,000000, 0,018758
495,000000, 0,019478
494,000000, 0,020334
493,000000, 0,020935
492,000000, 0,021598
491,000000, 0,022596
490,000000, 0,023716
489,000000, 0,024548
488,000000, 0,025279
487,000000, 0,026181
486,000000, 0,027271
485,000000, 0,027893
484,000000, 0,028817
483,000000, 0,029919
482,000000, 0,031111
481,000000, 0,032165
480,000000, 0,033232
479,000000, 0,034222
478,000000, 0,035242
477,000000, 0,036350
476,000000, 0,037290
