Sample ID, Description
PC baseline, 
DEAB non excited, 
DEAB 5 mins 365 nm, 
DEAB 10 mins 365 nm, 
DEAB in dark 15 mins, 
DEAB in dark 30 mins, 
DEAB vis light 2 min, 
DEAB vis light 5 min, 
DEAB vis light 10 min
DEAB vis light 10 min, 
DEAB vis light 15 min, 
Sample287, 
Sample288, 
