Sample ID, Description
i_fcked_up_(soryz), 
ab base, 
ab 5min 310nm 350mA_I, 
ab 10min 310nm 350mA_I, 
dma ab base, 
ab 15min 310nm 350mA_I, 
dma ab 5min nm 350mA_I, 
ab 20min 310nm 350mA_I, 
Sample45, 
Sample46, 
