Sample ID, Description, Type
i_fcked_up_(soryz), , Sample
ab base, , Sample
ab 5min 310nm 350mA_I, , Sample
ab 10min 310nm 350mA_I, , Sample
dma ab base, , Sample
ab 15min 310nm 350mA_I, , Sample
dma ab 5min nm 350mA_I, , Sample
ab 20min 310nm 350mA_I, , Sample
Sample45, , Sample
Sample46, , Sample
