Sample ID, Description, Type
PC baseline, , Sample
DEAB non excited, , Sample
DEAB 5 mins 365 nm, , Sample
DEAB 10 mins 365 nm, , Sample
DEAB in dark 15 mins, , Sample
DEAB in dark 30 mins, , Sample
DEAB vis light 2 min, , Sample
DEAB vis light 5 min, , Sample
DEAB vis light 10 min
DEAB vis light 10 min, , Sample
DEAB vis light 15 min, , Sample
Sample287, , Sample
Sample288, , Sample
