Sample ID, Description, Type
AC_base, , Sample
DEAB air_base (fcked_sample), , Sample
DEAB air_base (also fucked sample), , Sample
DEAB air_base, , Sample
DEAB air_base 5min 365nm, , Sample
DEAB air_base 5min 365nm 2, , Sample
DEAB air_base long_time 365nm, , Sample
