Sample ID, Description, Type
dma ab base (maybe cuz power lelel), , Sample
dma ab 10min 385nm 350mA_I, , Sample
fcked_up, , Sample
dma ab 15min 385nm 350mA_I, , Sample
Sample63, , Sample
Sample64, , Sample
Sample65, , Sample
Sample66, , Sample
Sample67, , Sample
Sample68, , Sample
