Sample ID, Description
dma ab base (maybe cuz power lelel), 
dma ab 10min 385nm 350mA_I, 
fcked_up, 
dma ab 15min 385nm 350mA_I, 
Sample63, 
Sample64, 
Sample65, 
Sample66, 
Sample67, 
Sample68, 
